,DATE,SUBSCRIBERS_GAINED,SUBSCRIBERS_LOST,VIEWS,WATCH_HOURS,LIKES,SHARES,COMMENTS,TOTAL_SUBSCRIBERS,weekday,type
0,2019-08-19,1,0,6,1,0,0,0,1,Monday,organic
1,2019-08-20,1,0,11,1,0,0,0,2,Tuesday,paid
2,2019-08-21,1,0,17,2,0,0,0,3,Wednesday,organic
3,2019-08-22,1,0,16,2,0,0,0,4,Thursday,organic
4,2019-08-23,1,0,28,2,0,0,0,5,Friday,organic
5,2019-08-24,1,0,45,4,1,0,0,6,Saturday,paid
6,2019-08-25,1,0,70,6,1,0,0,7,Sunday,paid
7,2019-08-26,1,0,48,4,1,0,0,8,Monday,paid
8,2019-08-27,1,0,43,5,2,0,0,9,Tuesday,paid
9,2019-08-28,2,0,47,5,2,0,0,11,Wednesday,paid
10,2019-08-29,1,0,58,5,2,0,0,12,Thursday,organic
11,2019-08-30,2,0,67,6,2,0,0,14,Friday,organic
12,2019-08-31,2,0,77,10,4,0,0,16,Saturday,paid
13,2019-09-01,1,0,80,9,4,0,0,17,Sunday,paid
14,2019-09-02,2,0,66,8,3,0,0,19,Monday,organic
15,2019-09-03,2,0,79,10,4,0,0,21,Tuesday,organic
16,2019-09-04,2,0,82,10,3,0,0,23,Wednesday,organic
17,2019-09-05,2,0,91,11,4,0,0,25,Thursday,organic
18,2019-09-06,2,0,77,11,4,1,0,27,Friday,organic
19,2019-09-07,2,0,105,18,7,1,0,29,Saturday,organic
20,2019-09-08,3,0,155,15,9,0,0,32,Sunday,paid
21,2019-09-09,3,0,91,11,7,1,0,35,Monday,paid
22,2019-09-10,3,0,83,9,5,1,0,38,Tuesday,paid
23,2019-09-11,2,0,109,14,6,1,0,40,Wednesday,organic
24,2019-09-12,3,0,121,16,5,1,0,43,Thursday,organic
25,2019-09-13,3,0,115,13,7,1,0,46,Friday,paid
26,2019-09-14,3,0,173,21,10,1,0,49,Saturday,paid
27,2019-09-15,4,0,185,21,9,1,0,53,Sunday,paid
28,2019-09-16,3,0,124,16,8,1,0,56,Monday,paid
